Algèbre avancée -- Localisation
Shuffle questions : True
Q/R & R/Q : False
\def\mm{\mathfrak m}\def\pp{\mathfrak p}\def\kk{\mathbb k}\usepackage{complexes}\usepackage{tikz-cd}\tikzcdset{every arrow/.append style={line cap=round, outer sep = -2.25pt}, every diagram/.append style={cramped, column sep=scriptsize, row sep=scriptsize}}
$A$ est local;;$A$ est local s'il possède un unique idéal maximal
Corps résiduel;;$\kk=A/\mm$ est le corps résiduel de $\l A,\mm\r$ local
CNS pour que $A$ soit local d'idéal maximal $I$;;$A^\times=A\setminus I$
Lemme de Nakayama;;Si $\l A,\mm\r$ est un anneau local et $M$ est un $A$-module de type fini tel que $\mm M=M$ alors $M=\set0$
Propriétés de $\l x_1,\cdots,x_n\r$ si $\l\bar{x_1},\cdots,\bar{x_n}\r$ est une base de $M/\mm M$ en tant que $A/\mm$-espace vectoriel pour $\l A,\mm\r$ un anneau local et $M$ un module de type fini;;C'est une famille génératrice de $M$ en tant que $A$-module
Propriétés des modules projectifs de $A$ un anneau local;;Tout module projectif de type fini est libre\linebreak Ce résultat reste vrai même si $P$ n'est pas de type fini (Kaplansky)
$S$ est une partie multiplicative de $A$;;$1\in S$ et si $\l x,y\r\in S^2$ alors $xy\in S$
$S^{-1}A$;;Anneau $A\times S/{\sim}$ où $\l a,s\r\sim\l a',s'\r$ si et seulement s'il existe $t\in S$ tel que $t\l sa'-s'a\r=0$
PU de l'anneau des fractions\linebreak$A$ un anneau, $S$ une partie multiplicative de $A$;;Soit $\phi\!:\!A\to S^{-1}A$ le morphisme canonique, alors pour tout anneau $B$ et tout morphisme $\psi\!:\!A\to B$ tel que $\psi\l S\r\subset B^\times$, il existe un unique morphisme d'anneaux $\widetilde\psi$ tel que $\psi=\widetilde\psi\circ\phi$\linebreak\begin{tikzcd}[ampersand replacement=\&]A\ar[rr,"\psi"']\ar[dr,"\phi"]\&\&B\\\&S^{-1}A\ar[ur,"\widetilde\psi",dashed]\&\end{tikzcd}
Localisé de $A$ en $\pp$;;Si $\pp$ est un idéal premier de $A$, le localisé de $A$ en $\pp$ est $A_\pp=S^{-1}A$ pour $S=A\setminus\pp$
Propriétés du localisé de $A$ en $\pp$;;C'est un anneau local d'idéal maximal $\mm=\set{\frac as\in A_\pp,a\in\pp,s\notin\pp}$ et $A_\pp/\mm\cong\operatorname{Frac}\l A\r$
